,10Y_Bond,Gold,Silver,Copper,USD_Index,Aluminum
2026-04-14 03:00:00,4.296999931335449,4800.2001953125,77.90499877929688,6.02400016784668,98.22000122070312,3578.25
2026-04-14 04:00:00,4.296999931335449,4810.0,78.2300033569336,6.052999973297119,98.19999694824219,3557.5
2026-04-14 05:00:00,4.296999931335449,4801.60009765625,77.8949966430664,6.041999816894531,98.15399932861328,3524.75
2026-04-14 06:00:00,4.296999931335449,4791.10009765625,77.61499786376953,6.041500091552734,98.08599853515625,3540.5
2026-04-14 07:00:00,4.290999889373779,4797.10009765625,77.7249984741211,6.042500019073486,98.05400085449219,3544.0
2026-04-14 08:00:00,4.279000282287598,4793.2998046875,77.67500305175781,6.06850004196167,97.99600219726562,3552.0
2026-04-14 09:00:00,4.27400016784668,4818.7998046875,78.51499938964844,6.083000183105469,98.052001953125,3556.25
2026-04-14 10:00:00,4.272000312805176,4827.2998046875,79.26000213623047,6.0879998207092285,97.98999786376953,3552.75
2026-04-14 11:00:00,4.265999794006348,4831.89990234375,79.29499816894531,6.0920000076293945,98.13700103759766,3548.25
2026-04-14 12:00:00,4.25600004196167,4833.5,79.20999908447266,6.081999778747559,98.10800170898438,3553.5
2026-04-14 13:00:00,4.25600004196167,4859.5,79.49500274658203,6.084000110626221,98.08599853515625,3568.0
2026-04-14 14:00:00,4.25600004196167,4860.10009765625,79.40499877929688,6.084499835968018,98.1240005493164,3558.75
2026-04-14 15:00:00,4.25600004196167,4868.7001953125,79.66000366210938,6.0894999504089355,98.13099670410156,3561.0
2026-04-14 16:00:00,4.25600004196167,4864.5,79.625,6.081500053405762,98.0999984741211,3561.0
2026-04-14 17:00:00,4.25600004196167,4864.5,79.625,6.081500053405762,98.12300109863281,3561.0
2026-04-14 18:00:00,4.25600004196167,4859.5,79.44999694824219,6.078999996185303,98.10600280761719,3561.0
2026-04-14 19:00:00,4.25600004196167,4861.7001953125,79.63500213623047,6.084000110626221,98.0770034790039,3561.0
2026-04-14 20:00:00,4.25600004196167,4859.7001953125,79.80000305175781,6.0929999351501465,98.10299682617188,3540.0
2026-04-14 21:00:00,4.25600004196167,4871.0,80.6449966430664,6.135499954223633,98.13500213623047,3540.0
2026-04-14 22:00:00,4.25600004196167,4847.7001953125,79.95500183105469,6.093999862670898,98.19999694824219,3540.0
2026-04-14 23:00:00,4.25600004196167,4849.60009765625,79.92500305175781,6.105000019073486,98.16500091552734,3548.75
2026-04-15 00:00:00,4.25600004196167,4848.89990234375,79.92500305175781,6.097499847412109,98.15899658203125,3548.75
2026-04-15 01:00:00,4.25600004196167,4843.2998046875,79.50499725341797,6.0995001792907715,98.13800048828125,3539.5
